game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
ظرفیتی need for speed 2016 ps4 و,0,1938000,130000,0,0
ظرفیتی need for speed rivals ps4 و,0,1000000,914000,0,0
ظرفیتی need for speed unbound,0,1980000,250000,0,0
ظرفیتی new world aeternum,0,0,3654000,0,0
ظرفیتی nickelodeon all-star brawl 2 ps4 و,220000,3122000,1016000,0,0
ظرفیتی nioh 2 ps4 و,120000,3438000,150000,0,0
ظرفیتی no man's sky ps4 و,0,3000000,220000,0,0
ظرفیتی olliolli world ps4 و,100000,2420000,220000,0,0
ظرفیتی overcooked! + overcooked! 2 ps4 و,0,1400000,1760000,0,0
ظرفیتی pacific drive ps4 و,0,0,2825000,0,0
ظرفیتی park beyond,1110000,8540000,390000,0,0
ظرفیتی park beyond ps4 و,0,4413000,320000,0,0
ظرفیتی paw patrol world ps4 و,0,3650000,602000,0,0
ظرفیتی phasmophobia,0,3266000,2252000,0,0
ظرفیتی planet coaster 2,0,6304000,4532000,0,0
ظرفیتی plants vs. zombies replanted,490000,1089000,1433000,0,0
ظرفیتی police simulator patrol officers ps4 و,220000,3180000,290000,0,0
ظرفیتی psychonauts 2 ps4 و,0,4175000,220000,0,0
ظرفیتی raccoon city edition ps4 و,190000,1760000,190000,0,0
ظرفیتی rayman legends ps4 و,250000,1100000,996000,0,0
ظرفیتی ready or not,0,0,3380000,0,0
ظرفیتی red dead online ps4 و,0,1350000,150000,0,0
ظرفیتی red dead redemption & red dead redemption 2 bundle ps4 و,0,4730000,250000,0,0
ظرفیتی red dead redemption ps4 و,0,2500000,3000000,0,0
ظرفیتی rematch,0,3532000,1506000,0,0
ظرفیتی resident evil 2 ps4 و,220000,2657000,250000,0,0
ظرفیتی resident evil 3 ps4 و,0,3552000,220000,0,0
ظرفیتی resident evil 4 remake ps4 و,0,2800000,1130000,0,0
ظرفیتی resident evil 7 biohazard ps4 و,290000,880000,2358000,0,0
ظرفیتی resident evil triple pack ps4 و,0,1642000,1940000,0,0
ظرفیتی revenge of the savage planet,320000,1960000,2380000,0,0
ظرفیتی ride 5,0,5228000,290000,0,0
ظرفیتی riders republic ps4 و,180000,1463000,220000,0,0
ظرفیتی rise of the ronin,0,8094000,390000,0,0
ظرفیتی robocop rogue city,0,5228000,390000,0,0
ظرفیتی roguebook ps4 و,220000,2090000,1485000,0,0
ظرفیتی s.t.a.l.k.e.r. 2 heart of chornobyl,0,6123000,4585000,0,0
ظرفیتی saints row ps4 و,198000,1180000,250000,0,0
ظرفیتی saros,1390000,0,5089000,0,0
ظرفیتی sea of thieves,0,3960000,220000,0,0
ظرفیتی serious sam 4 launch bundle ps4 و,0,4393000,220000,0,0
ظرفیتی shadow warrior 3 ps4 و,0,4000000,220000,0,0
ظرفیتی shinobi art of vengeance ps4 و,0,4330000,2765000,0,0
ظرفیتی sid meier’s civilization vii ps4 و,490000,4213000,5086000,0,0
ظرفیتی sifu ps4 و,0,3122000,220000,0,0
ظرفیتی silent hill 2,0,5180000,3580000,0,0
ظرفیتی silent hill f,0,4585000,4362000,0,0
ظرفیتی sniper elite 5 ps4 و,0,4094000,220000,0,0
